idno,autor,titulo,subtitulo,anio,decada,genero,subgenero,genero_autor,archivo
ne0323,Benito Pérez Galdós,Fortunata y Jacinta,dos historias de casadas,1886,1880s,novela,realist,male,Textos por decada/1880s/Benito Pérez Galdós - Fortunata y Jacinta. dos historias de casadas (1886) [ne0323].txt
ne0324,Benito Pérez Galdós,Fortunata y Jacinta,dos historias de casadas,1887,1880s,novela,realist,male,Textos por decada/1880s/Benito Pérez Galdós - Fortunata y Jacinta. dos historias de casadas (1887) [ne0324].txt
ne0031,Benito Pérez Galdós,Miau,,1888,1880s,novela,realist,male,Textos por decada/1880s/Benito Pérez Galdós - Miau (1888) [ne0031].txt
ne0002,Benito Pérez Galdós,Misericordia,,1889,1880s,novela,realist,male,Textos por decada/1880s/Benito Pérez Galdós - Misericordia (1889) [ne0002].txt
ne0032,Benito Pérez Galdós,La incógnita,,1889,1880s,novela,realist,male,Textos por decada/1880s/Benito Pérez Galdós - La incógnita (1889) [ne0032].txt
ne0034,Benito Pérez Galdós,Torquemada en la hoguera y otras composiciones,El artículo de fondo; La mula y el buey; La pluma en el viento; La conjuración de las palabras; Un tribunal literario; La princesa y el granuja; Junio,1889,1880s,novela,realist,male,Textos por decada/1880s/Benito Pérez Galdós - Torquemada en la hoguera y otras composiciones. El artículo de fondo; La mula y el buey; La pluma en el viento; La conju (1889) [ne0034].txt
ne0274,Benito Pérez Galdós,Realidad,novela en cinco jornadas,1889,1880s,novela,dialogue,male,Textos por decada/1880s/Benito Pérez Galdós - Realidad. novela en cinco jornadas (1889) [ne0274].txt
ne0194,Silverio Lanza,Mala cuna y mala fosa,,1883,1880s,novela,realist,male,Textos por decada/1880s/Silverio Lanza - Mala cuna y mala fosa (1883) [ne0194].txt
ne0287,Silverio Lanza,Noticias biográficas acerca del Excmo. Sr. Marqués del Mantillo,,1889,1880s,novela,philosophical,male,Textos por decada/1880s/Silverio Lanza - Noticias biográficas acerca del Excmo. Sr. Marqués del Mantillo (1889) [ne0287].txt
ne0325,"Alas, Leopoldo",La Regenta,,1885,1880s,novela,realist,male,"Textos por decada/1880s/Alas, Leopoldo - La Regenta (1885) [ne0325].txt"
ne0326,"Alas, Leopoldo",La Regenta,,1885,1880s,novela,realist,male,"Textos por decada/1880s/Alas, Leopoldo - La Regenta (1885) [ne0326].txt"
ne0205,José Ortega Munilla,El tren directo,Relación contemporánea,1880,1880s,novela,realist,male,Textos por decada/1880s/José Ortega Munilla - El tren directo. Relación contemporánea (1880) [ne0205].txt
ne0384,José Ortega Munilla,Don Juan Solo,Relación contemporánea,1880,1880s,novela,realist,male,Textos por decada/1880s/José Ortega Munilla - Don Juan Solo. Relación contemporánea (1880) [ne0384].txt
ne0206,José Ortega Munilla,Cleopatra Pérez,,1884,1880s,novela,realist,male,Textos por decada/1880s/José Ortega Munilla - Cleopatra Pérez (1884) [ne0206].txt
ne0294,José María de Pereda,"De tal palo, tal astilla",,1880,1880s,novela,realist,male,"Textos por decada/1880s/José María de Pereda - De tal palo, tal astilla (1880) [ne0294].txt"
ne0295,José María de Pereda,El sabor de la tierruca,,1882,1880s,novela,realist,male,Textos por decada/1880s/José María de Pereda - El sabor de la tierruca (1882) [ne0295].txt
ne0144,José María de Pereda,Pedro Sánchez,,1883,1880s,novela,historical,male,Textos por decada/1880s/José María de Pereda - Pedro Sánchez (1883) [ne0144].txt
ne0146,José María de Pereda,Sotileza,,1885,1880s,novela,bildungsroman,male,Textos por decada/1880s/José María de Pereda - Sotileza (1885) [ne0146].txt
ne0183,José María de Pereda,La Montálvez,,1888,1880s,novela,bildungsroman,male,Textos por decada/1880s/José María de Pereda - La Montálvez (1888) [ne0183].txt
ne0296,José María de Pereda,La puchera,,1889,1880s,novela,realist,male,Textos por decada/1880s/José María de Pereda - La puchera (1889) [ne0296].txt
ne0161,Jacinto Octavio Picón,Lázaro,,1882,1880s,novela,realist,male,Textos por decada/1880s/Jacinto Octavio Picón - Lázaro (1882) [ne0161].txt
ne0162,Jacinto Octavio Picón,Juan Vulgar,,1885,1880s,novela,bildungsroman,male,Textos por decada/1880s/Jacinto Octavio Picón - Juan Vulgar (1885) [ne0162].txt
ne0398,Salvador Rueda,El gusano de luz,Novela andaluza,1889,1880s,novela,realist,male,Textos por decada/1880s/Salvador Rueda - El gusano de luz. Novela andaluza (1889) [ne0398].txt
ne0007,Alejandro Sawa,La mujer de todo el mundo,,1885,1880s,novela,erotic,male,Textos por decada/1880s/Alejandro Sawa - La mujer de todo el mundo (1885) [ne0007].txt
ne0307,Armando Palacio Valdés,El señorito Octavio,Novela sin pesamiento trascendental,1881,1880s,novela,sentimental,male,Textos por decada/1880s/Armando Palacio Valdés - El señorito Octavio. Novela sin pesamiento trascendental (1881) [ne0307].txt
ne0209,Armando Palacio Valdés,Marta y María,Novela de costumbres,1883,1880s,novela,realist,male,Textos por decada/1880s/Armando Palacio Valdés - Marta y María. Novela de costumbres (1883) [ne0209].txt
ne0308,Armando Palacio Valdés,El idilio de un enfermo,,1884,1880s,novela,realist,male,Textos por decada/1880s/Armando Palacio Valdés - El idilio de un enfermo (1884) [ne0308].txt
ne0210,Armando Palacio Valdés,José,,1885,1880s,novela,realist,male,Textos por decada/1880s/Armando Palacio Valdés - José (1885) [ne0210].txt
ne0231,Armando Palacio Valdés,Riverita,Novela de costumbres,1886,1880s,novela,bildungsroman,male,Textos por decada/1880s/Armando Palacio Valdés - Riverita. Novela de costumbres (1886) [ne0231].txt
ne0230,Armando Palacio Valdés,Maximinia,"segunda parte de ""Riverita"", novela de costumbres",1887,1880s,novela,realist,male,"Textos por decada/1880s/Armando Palacio Valdés - Maximinia. segunda parte de 'Riverita', novela de costumbres (1887) [ne0230].txt"
ne0080,Emilia Pardo Bazán,Doña Milagros,,1890,1890s,novela,bildungsroman,female,Textos por decada/1890s/Emilia Pardo Bazán - Doña Milagros (1890) [ne0080].txt
ne0081,Emilia Pardo Bazán,Memorias de un solterón,Adán y Eva (Ciclo),1890,1890s,novela,sentimental,female,Textos por decada/1890s/Emilia Pardo Bazán - Memorias de un solterón. Adán y Eva (Ciclo) (1890) [ne0081].txt
ne0083,Emilia Pardo Bazán,La prueba,Segunda parte de Una Cristiana,1890,1890s,novela,realist,female,Textos por decada/1890s/Emilia Pardo Bazán - La prueba. Segunda parte de Una Cristiana (1890) [ne0083].txt
